shipper_code,shipper_name,address1,postcode,state,country,telephone,email,city,fax,mobile,contact,remark,tax_exclusive,manual_rate,invoice_format,credit_limit,term_day,acc_bal,user_id
ANEKA,Aneka Publication & Distributors Sdn Bhd,"No. 3, Level 2, Jalan Sri Sarawak 20B, ",41200,SELANGOR,MALAYSIA,03-333237043,anekapd@yahoo.com,Taman Sri Andalas,,,,,0,0,,,,,
BUNCHO,Buncho Marketing Sdn Bhd,"No. 6, Jalan Sungai Chadong 8, ",42100,SELANGOR,MALAYSIA,03-32914418,buncho.malaysia@gmail.com,"Off Batu 5, Jalan Kapar Klang",,,,,0,0,,,,,
CEMERLANG,Cemerlang Publications Sdn Bhd,"No. 29, Jalan PBS 14/3, ",43300,SELANGOR,MALAYSIA,03-89417748,cemerlangsalesdept@gmail.com,Taman Perindustrian Bukit Serdang,,,,,0,0,,,,,
CHONGWAH,Chong Wah Corporation Sdn Bhd,"Lot PT1517, 1, Jalan Seri Maju 3, ",33000,PERAK,MALAYSIA,57761084,cwc.aero@gmail.com,Taman Perindustrian Seri Maju,,,,,0,0,,,,,
EDDIPLEX,Eddiplex Sdn Bhd,"No. 7, Jalan Nilam 1/1, ",40000,SELANGOR,MALAYSIA,03-56329408,eddiplexsdnbhd@gmail.com,"Subang Hitech Industrial Park, Batu 3",,,,,0,0,,,,,
SASBADI,Sasbadi Sdn Bhd,"Lot 12, Jalan Teknologi 3/4,",47810,SELANGOR,MALAYSIA,03-61451188,enquiry@sasbadi.com," Taman Sains Selangor 1, Kota Damansara",,,,,0,0,,,,,
ALIMHARMONY,Alim Harmony Sdn Bhd,"No. 32, Jalan Legenda 2, Legenda Heights",8000,KEDAH,MALAYSIA,04-4202787,,,,,,,0,0,,,,,
AMAZINGBOOK,Amazing Books Supplies,"No. 5, Jalan Pantai Jerjak 9, Taman Sungai Nibong",11900,PENANG,MALAYSIA,,,,,,,,0,0,,,,,
ALPHABET,Alphabet Publications Sdn Bhd,"No. 11, Jalan AP 1C/20, Taman Alam Perdana",42300,SELANGOR,MALAYSIA,012-6812230,alphabetpublications@yahoo.com,,,,,,0,0,,,,,
ALAFSANJUNG,Alaf Sanjung Sdn Bhd,"No. 23, Jalan Sungai Besi Indah 5/2, ",43300,SERI KEMBANGAN,MALYSIA,03-89410611,alafsanjung@hotmail.com,Taman Sungai Besi Indah,,,,,0,0,,,,,
ATTARBIAH,Attarbiah Sdn Bhd,"No. 19-3, Jalan PJU 5/4, Dataran Sunway,",47810,PETALING JAYA,MALAYSIA,016-2337901,attarbiah@gmail.com,Kota Damansara,,,,,0,0,,,,,
BRECARE,Bre Care Sdn Bhd,"S-3-02, Wisma Biz Gamuda, No.12,",40460,SELANGOR,MALAYSIA,012-2593349,admin@bumire.com,"Kota Kemuning, Shah Alam",,,,,0,0,,,,,
SETIAMAS,Setiamas Publication,"No. 48, Jalan TSB 3, ",47000,SELANGOR,MALAYSIA,03-61578201,,Taman Perindustrian Sungai Buloh,,,,,0,0,,,,,
ADWORKS,Adworks In-progress Sdn Bhd,"Happy Mansion, Unit C5-5, Jalan 17/13",46400,SELANGOR,MALAYSIA,03-79322617,,,,,,,0,0,,,,,
BOUNTIFUL,Bountiful Marketing Sdn Bhd,"Lot 1947, Lorong IKS Bukit Minyak 2, ",14100,PENANG,MALAYSIA,04-5073690,,"Taman IKS Bukit Minyak, Simpang Ampat",,,,,0,0,,,,,
BRIGHT,Bright Publications Sdn Bhd,"No. 12,  Jalan USJ 17/3C Subang Jaya",47630,SELANGOR,MALAYSIA,03-80241898,,,,,,,0,0,,,,,
BUKUFIXI,Buku Fixi Sdn Bhd,"No. 33-3, Plaza Danau Desa, Jalan 109F, ",58100,KUALA LUMPUR ,MALAYSIA,017-3288562,info@fixi.com.my," Tmn Danau Desa, Off Jalan Klang Lama",,,,,0,0,,,,,
BZCHEMICAL,Bz Chemical Industries (M) Sdn Bhd,"No. 41A, Jalan SG3/12, Pusat Bandar Sri Gombak",68100,SELANGOR,MALAYSIA,03-61888477,info@bzchemical.com,Batu Caves,,016-2085442,,,0,0,,,,,
CARDUTA,Carduta Sdn Bhd,"No. 68, Jalan PBS 14/3,",43300,SELANGOR,MALAYSIA,03-89381822,sales@carduta.com.my, Taman Perindustrian Bukit Serdang,,016-3113169,,,0,0,,,,,
CERDIK,Cerdik Publications Sdn Bhd,"No. 5, Jalan TP 7/5, Sime UEP Industrial Park",40400,SELANGOR,MALAYSIA,03-51037879,hr.cerdik@gmail.com,Subang Jaya,,,,,0,0,,,,,
CHCBOOK,CHC Book Distributors Sdn Bhd,"No. 3, Jalan USJ 1/1B, Regalia Business Centre",47620,SELANGOR,MALAYSIA,03-80238533,chcbkdis@hotmail.com,Subang Jaya,,,,,0,0,,,,,
COMPESTI,Compesti Sdn Bhd,"No. 17, Jalan Utama 2/16, ",47100,SELANGOR,MALAYSIA,03-80602729,accounts@compesti.com,Taman Perindustrian Puchong Utama,,,,,0,0,,,,,
CORNER,Corner Stone,"No. 12A, Jalan Seri Banyan 2, Taman Sri Banyan, Country Height",43000,SELANGOR,MALAYSIA,03-87369422,,Kajang,,,,,0,0,,,,,
CONTENTPLUS,Content Plus Sdn Bhd,"No. 32, Jalan Pbs 14/8,Taman Perindustrian Bukit Serdang",43300,SELANGOR,MALAYSIA,03-89408268,contentplussb@gmail.com,Seri Kembangan,,,,,0,0,,,,,
CPSTATIONERY,CP Stationery Sdn Bhd,"No. 1947, Lorong IKS Bukit Minyak 2, Taman IKS Bukit Minyak",14100,PENANG,MALAYSIA,04-5073690,,Simpang Ampat,,,,,0,0,,,,,
DAP,Democratic Action Party,"Jalan Yew, Pudu",55100,KUALA LUMPUR ,MALAYSIA,03-92005000,dap@dapmalaysia.org,,,,,,0,0,,,,,
