shipper_code,shipper_name,address1,postcode,state,country,telephone,email,city,fax,mobile,contact,remark,tax_exclusive,manual_rate,invoice_format,credit_limit,term_day,acc_bal,user_id
GALLERYSBC,GALLERY BUKU SBC SDN BHD,"50851, Jalan Kenanga 24/3, Taman Indah Pura, 81000 Kulai, Johor",8100,JOHOR,MALAYSIA, 07-662 5316,,,,,,,0,0,,,,,
KEKOMARKETING,KEKO MARKETING (M) SDN BHD,"TAMAN SELAMAT, ALMA 14000 BUKIT MERTAJAM",14000,PENANG,MALAYSIA,04-5515580,kekomarketing@gmail.com,,,,,,0,0,,,,,
UPINMARKETING,U PIN MARKETING SDN BHD,"LEBUH BINJAI 3, TAMAN SERI RAMBAI, BUKIT MERTAJAM",14000,PENANG,MALAYSIA,04-510 5326,upin@gmail.com,,,,,,0,0,,,,,
LEAPWISE,LEAPWISE ENTERPRISE,"Lot 2C, Jalan Keluli 15/16, Section 15, 40200",40200,SELANGOR,MALAYSIA,017-5643600,,,,,,,0,0,,,,,
COMFORTSURF,COMFORTSURF,1ST FLOOR ENDAH PARADA BANDAR BARU SERI PETALING,58200,KUALA LUMPUR,MALAYSIA,395480072,comfortsurf@gmail.com,,,,,,0,0,,,,,
HYGEIANMEDICAL,HYGEIAN MEDICAL,"44 & 46, Jalan PJS 1/28, Taman Petaling Utama, 46000 Petaling Jaya, Selangor",46000,KUALA LUMPUR,MALAYSIA,03-7783 2188,hygeianmedical@gmail.com,,,,,,0,0,,,,,
SRYE,SRYE TRADING,"JALAN PERINDUSTRIAN NILAI 3, 71800 NILAI",71800,NEGERI SEMBILAN,MALAYSIA,06-7994878,sryetrading@gmail.com,,,,,,0,0,,,,,
GUANGHENG,GUANG HENG PLASTIC INDUSTRIES SDN BHD,"111, JALAN SAWIT BARU 8, TAMAN PERINDUSTRIAN SAWIT BARU",81030,JOHOR,MALAYSIA,07-6525228,sales@yogo.com.my,,,,,,0,0,,,,,
ANVEN,ANVEN HEALTHCARE SDN BHD,"BRANCH: NO.29, JALAN SS19/6C, SUBANG JAYA",47500,SELANGOR,MALAYSIA,012-2071454,enquiry@anvenhealthcare.com,,,,,,0,0,,,,,
FAIRFIELD,FAIR FIELD BOOK,No. 52 Jalan Setia Tropika 1/29 Taman Setia Tropika,81200,JOHOR,MALAYSIA,07-2448821,fbpbook@yahoo.com.my,,,,,,0,0,,,,,
ARTISAN,ARTISAN PREMIUM SDN BHD,"LOT 1 & 2 JALAN BS 7/1A, TAMAN BUKIT SERDANG SEKSYEN 7",43300,KUALA LUMPUR,MALAYSIA,03-89592001,cemerlangsalesdept@gmail.com,,,,,,0,0,,,,,
MEDSCIENCE,MEDSCIENCE LAB SUPPLIES,"22, JLN PP 5/23, TAMAN PUTRA PRIMA, 47100 PUCHONG.",47100,SELANGOR,MALAYSIA,016-2500880,,,,,,,0,0,,,,,
SUMBER AYU,SUMBER AYU,"No 5 Jalan Pjs 2d/17, Kampung Medan 4600 Petaling Jaya ",4600,SELANGOR,MALAYSIA,,,,,,,,0,0,,,,,
SOH AIK JIN,SOH AIK JIN,,,SELANGOR,MALAYSIA,179899150,,,,,,,0,0,,,,,
KEDAI BUKU HARI,KEDAI BUKU HARI,"NO. 43, JALAN MEDAN KAMUNTING 1, MEDAN KAMUNTING,",34600,PERAK,MALAYSIA,05-8914667,kedaibukuhari2016@gmail.com,,,,,,0,0,,,,,
SKKLUSTER,SK KLUSTER ENTERPRISE,"NO. B35, JALAN TANDOP 4, TAMAN PERINDUSTRIAN TANDOP UTAMA, LEBUHRAYA SULTANAH BAHIYAH,",5400,KEDAH,MALAYSIA,04-7719968,,,,,,,0,0,,,,,
LOGWIN,LOGWIN AIR OCEAN MALAYSIA SDN BHD,"BLOCK C, UNIT 03, NO 14, PERSIARAN PERUSAHAAN SEKSYEN 23,",40300,SELANGOR,MALAYSIA,03-58700077,,,,,,,0,0,,,,,
SRIPERPATH,PUSTAKA SRI PERPATH SDN BHD,"163, Jalan S2 B3, Seremban 2, 70300 Seremban, Negeri Sembilan",70300,NEGERI SEMBILAN,MALAYSIA,06-6015127,,,,,,,0,0,,,,,
HERBALSCIENCE,HERBAL SCIENCE SDN BHD,SRIPERPATH,46000,SELANGOR,MALAYSIA,03-77830995,herbalsc@tm.net.my,,,,,,0,0,,,,,
SBS,SBS ELEKTRIK SDN BHD,"115, JLN THAMBOOSAMY, OFF JLN PUTRA,",50350,KUALA LUMPUR,MALAYSIA,340431177,info@sbselektrik.com.my,,,,,,0,0,,,,,
DAVEX2,DAVEX ENGINEERING (M) SDN BHD,"PLOT 32, LRG PERUSAHAAN MAJU 8, BUKIT TENGAH INDUSTRIAL PARK",13600,PENANG,MALAYSIA,04-5070517,viviankoh@davislighting.com,,,,,,0,0,,,,,
KBSEA,KEDAI BUKU SOUTH EAST ASIA,PENANG LEBUH CARNARVON,11500,PENANG,MALAYSIA,05-2612669,KBSEA@GMAIL.COM,,,,,,0,0,,,,,
